Zip Code|Bin Code
63648|D60-O-302
63653|D60-O-302
63655|D60-N-254
63662|D60-N-254
63701|D60-J-114
63702|D60-J-114
63703|D60-J-114
63736|D60-J-114
63739|D60-N-222
63755|D60-N-222
63766|D60-N-222
63780|D60-J-114
63785|D60-N-222
63801|D60-J-119
63823|D60-J-119
63825|D60-N-215
63834|D60-J-119
63841|D60-N-215
63845|D60-J-119
63901|D60-J-120
63902|D60-J-120
63932|D60-J-120
63936|D60-N-215
63938|D60-J-120
63939|D60-J-120
63940|D60-J-120
63945|D60-J-120
63955|D60-J-120
63961|D60-J-120
63962|D60-J-120
64002|D60-P-343
64012|D60-P-350
64013|D60-P-352
64014|D60-P-352
64015|D60-P-352
64019|D60-N-227
64029|D60-P-352
64030|D60-N-220
64034|D60-P-343
64050|D60-O-305
64051|D60-O-305
64052|D60-O-305
64053|D60-O-305
64054|D60-O-305
64055|D60-P-351
64056|D60-O-305
64057|D60-P-351
64058|D60-O-305
64063|D60-P-343
64064|D60-N-255
64065|D60-P-343
64068|D60-N-223
64069|D60-N-223
64081|D60-P-343
64082|D60-P-343
64083|D60-P-350
64086|D60-N-255
64093|D60-N-227
64110|D60-P-338
64116|D60-N-251
64117|D60-N-251
64118|D60-N-214
64119|D60-P-349
64120|D60-P-347
64123|D60-P-347
64124|D60-P-347
64125|D60-P-347
64126|D60-P-347
64127|D60-P-347
64128|D60-P-347
64129|D60-P-336
64130|D60-P-336
64131|D60-P-338
64132|D60-P-338
64133|D60-P-346
64134|D60-N-259
64136|D60-P-346
64137|D60-N-259
64138|D60-N-256
64139|D60-N-256
64144|D60-N-251
64150|D60-O-300
64151|D60-O-300
64153|D60-O-300
64154|D60-O-300
64155|D60-O-300
64156|D60-P-349
64157|D60-P-349
64158|D60-P-349
64161|D60-N-251
64162|D60-N-251
64163|D60-O-300
64164|D60-O-300
64165|D60-O-300
64166|D60-O-300
64167|D60-P-349
64188|D60-N-214
64191|D60-N-251
64501|D60-P-353
64502|D60-P-353
64503|D60-P-353
64504|D60-P-353
64505|D60-P-353
64506|D60-P-353
64507|D60-P-353
65011|D60-N-210
65020|D60-N-226
65026|D60-N-210
65043|D60-L-170
65063|D60-L-170
65064|D60-N-210
65072|D60-N-210
65101|D60-O-303
65109|D60-O-303
65110|D60-O-303
65201|D60-O-306
65202|D60-O-306
65203|D60-O-299
65205|D60-O-299
65211|D60-O-306
65212|D60-O-299
65215|D60-O-299
65216|D60-O-299
65217|D60-O-299
65218|D60-O-299
65232|D60-N-225
65251|D60-P-340
65265|D60-N-225
65270|D60-N-211
65280|D60-N-225
65285|D60-N-225
65301|D60-P-348
65302|D60-P-348
65355|D60-O-294
65401|D60-L-164
65402|D60-L-164
65409|D60-L-164
65441|D60-N-219
65446|D60-N-219
65449|D60-L-175
65452|D60-L-169
65453|D60-N-219
65456|D60-N-219
65457|D60-L-164
65461|D60-L-164
65463|D60-J-121
65470|D60-J-121
65473|D60-N-224
65501|D60-L-175
65529|D60-L-164
65535|D60-N-219
65536|D60-J-121
65541|D60-L-164
65550|D60-L-164
65560|D60-L-175
65565|D60-N-219
65566|D60-N-219
65567|D60-J-121
65583|D60-L-169
65584|D60-N-224
65590|D60-J-121
65591|D60-J-121
65644|D60-N-257
65706|D60-N-257
65713|D60-N-257
65775|D60-N-218
65777|D60-N-218
65788|D60-N-218
65789|D60-N-218
65790|D60-N-218
66026|D60-N-245
66027|D60-O-298
66036|D60-N-245
66042|D60-N-245
66043|D60-O-298
66044|D60-P-321
66045|D60-P-321
66046|D60-N-242
66047|D60-N-242
66048|D60-O-298
66049|D60-P-321
66051|D60-N-249
66053|D60-N-245
66061|D60-N-249
66062|D60-L-188
66063|D60-L-188
66064|D60-N-245
66067|D60-N-243
66071|D60-N-245
66076|D60-N-243
66078|D60-N-243
66079|D60-N-243
66092|D60-N-243
66095|D60-N-243
66101|D60-N-241
66102|D60-P-323
66104|D60-P-323
