Zip Code|Bin Code
38501|D64-G-611
38502|D64-G-611
38503|D64-G-611
38505|D64-G-611
38506|D64-G-611
38552|D64-G-611
38555|D64-G-622
38557|D64-G-622
38558|D64-G-622
38571|D64-G-622
38572|D64-G-622
38579|D64-G-611
38583|D64-F-511
38632|D64-K-1008
38654|D64-E-426
38671|D64-G-627
38672|D64-G-627
38801|D64-N-4005
38803|D64-N-4005
38804|D64-N-4005
40003|D64-L-2001
40004|D64-C-213
40065|D64-L-2001
40066|D64-L-2001
40104|D64-K-1004
40108|D64-K-1004
40110|D64-F-503
40117|D64-K-1004
40157|D64-K-1004
40159|D64-G-601
40160|D64-G-601
40161|D64-K-1004
40165|D64-F-503
40166|D64-F-503
40175|D64-F-507
40201|D64-G-610
40202|D64-G-610
40203|D64-G-610
40204|D64-G-610
40205|D64-G-608
40206|D64-M-3009
40207|D64-M-3009
40208|D64-G-610
40209|D64-G-607
40210|D64-G-610
40211|D64-G-600
40212|D64-G-600
40213|D64-G-608
40214|D64-G-607
40215|D64-G-607
40216|D64-G-604
40218|D64-G-608
40219|D64-G-606
40220|D64-L-2005
40222|D64-F-504
40223|D64-F-506
40224|D64-L-2005
40229|D64-G-606
40241|D64-F-504
40242|D64-F-504
40243|D64-F-506
40245|D64-F-506
40250|D64-L-2005
40251|D64-G-600
40252|D64-F-504
21001|D64-I-805
21060|D64-I-809
21061|D64-I-809
21062|D64-I-809
21122|D64-I-808
21123|D64-I-808
21201|D64-C-212
21202|D64-C-212
21205|D64-I-806
21206|D64-I-804
21207|D64-I-810
21213|D64-I-806
21215|D64-I-802
21216|D64-I-807
21219|D64-I-812
40253|D64-F-506
40256|D64-G-604
40257|D64-M-3009
40258|D64-G-609
40259|D64-G-606
40266|D64-G-609
40268|D64-G-609
40269|D64-J-900
40272|D64-G-609
40280|D64-M-3009
40291|D64-F-505
40299|D64-J-900
40313|D64-L-2008
40324|D64-D-306
40340|D64-E-409
40342|D64-C-208
40351|D64-L-2008
40353|D64-L-2003
40356|D64-E-409
40372|D64-C-208
40391|D64-F-500
40392|D64-F-500
40403|D64-F-502
40404|D64-F-502
40422|D64-M-3001
40423|D64-M-3001
40461|D64-F-502
40464|D64-M-3001
40468|D64-M-3001
40475|D64-G-615
40476|D64-G-615
40502|D64-G-613
40503|D64-D-307
40505|D64-G-614
40507|D64-E-410
40508|D64-E-410
40509|D64-G-614
40511|D64-E-410
40513|D64-D-307
40514|D64-D-307
40515|D64-G-613
40516|D64-G-614
40517|D64-G-613
40523|D64-G-613
40524|D64-G-613
40555|D64-G-614
40591|D64-D-307
40601|D64-F-501
40602|D64-F-501
40603|D64-F-501
40618|D64-F-501
40619|D64-F-501
40620|D64-F-501
40621|D64-F-501
40622|D64-F-501
40701|D64-E-435
40702|D64-E-435
40724|D64-B-107
40737|D64-E-435
40741|D64-B-107
40742|D64-B-107
40743|D64-B-107
40744|D64-B-107
40745|D64-B-107
40750|D64-B-107
40759|D64-K-1003
40763|D64-K-1003
40769|D64-K-1003
40771|D64-E-435
41101|D64-E-404
41102|D64-E-404
41105|D64-E-404
41114|D64-E-404
41129|D64-K-1000
41168|D64-K-1000
41169|D64-E-404
41204|D64-E-408
41216|D64-E-408
41219|D64-E-408
41232|D64-E-408
41234|D64-E-408
41238|D64-E-408
41240|D64-E-408
41254|D64-E-408
41255|D64-E-408
41257|D64-E-408
41260|D64-E-408
41263|D64-E-408
41264|D64-E-408
41265|D64-E-408
41268|D64-E-408
41271|D64-E-408
41274|D64-E-408
41501|D64-J-903
41502|D64-J-903
41557|D64-J-903
41562|D64-J-903
41571|D64-J-903
41701|D64-E-423
41702|D64-E-423
41712|D64-E-423
41719|D64-E-423
41721|D64-E-423
41722|D64-E-423
41723|D64-E-423
41725|D64-E-423
41727|D64-E-423
41735|D64-E-423
41745|D64-E-423
41754|D64-E-423
41759|D64-E-423
41760|D64-E-423
41763|D64-E-423
41772|D64-E-423
41773|D64-E-423
41817|D64-E-423
41819|D64-E-423
41821|D64-E-423
41839|D64-E-423
41847|D64-E-423
42101|D64-E-413
42102|D64-E-413
42103|D64-E-413
42104|D64-E-413
42122|D64-E-413
42123|D64-F-513
42131|D64-F-513
42134|D64-K-1009
42135|D64-K-1009
42141|D64-F-513
42142|D64-F-513
42156|D64-F-513
42170|D64-K-1009
42211|D64-N-4001
42215|D64-N-4001
42232|D64-G-620
42236|D64-G-620
42240|D64-G-620
42241|D64-G-620
42254|D64-G-620
42266|D64-G-620
42274|D64-E-413
42501|D64-B-100
42502|D64-B-100
42503|D64-B-100
42533|D64-B-100
42701|D64-G-605
42702|D64-G-605
42724|D64-G-605
45638|D64-E-437
