Carrier|Service|Container Type|Weight Not Over Oz|Cost Zone 1|Cost Zone 2|Cost Zone 3|Cost Zone 4|Cost Zone 5|Cost Zone 6|Cost Zone 7|Cost Zone 8|Cost Zone 9|Cost Zone Ddu|Cost Zone Scf|Cost Zone Ndc|Cost Zone Ddu Out 48|Cost Zone Scf Out 48|Cost Zone Ndc Out 48|Charge Zone 1|Charge Zone 2|Charge Zone 3|Charge Zone 4|Charge Zone 5|Charge Zone 6|Charge Zone 7|Charge Zone 8|Charge Zone 9|Charge Zone Ddu|Charge Zone Scf|Charge Zone Ndc|Charge Zone Ddu Out 48|Charge Zone Scf Out 48|Charge Zone Ndc Out 48
USPS|EXPRESS_MAIL|PACKAGE|832|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|848|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|864|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|880|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|896|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|912|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|928|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|944|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|960|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|976|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|992|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|1008|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|1024|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|1040|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|1056|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|1072|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|1088|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|1104|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|1120|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|FIRST_CLASS|PACKAGE|1|2.57|2.57|2.57|2.57|2.57|2.57|2.57|2.57|2.57|0|0|0|0|0|0|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|2.78|0|0|0|0|0|0
USPS|FIRST_CLASS|PACKAGE|2|2.69|2.69|2.69|2.69|2.69|2.69|2.69|2.69|2.69|0|0|0|0|0|0|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|2.91|0|0|0|0|0|0
USPS|FIRST_CLASS|PACKAGE|3|2.74|2.74|2.74|2.74|2.74|2.74|2.74|2.74|2.74|0|0|0|0|0|0|3|3|3|3|3|3|3|3|3|0|0|0|0|0|0
USPS|FIRST_CLASS|PACKAGE|4|2.74|2.74|2.74|2.74|2.74|2.74|2.74|2.74|2.74|0|0|0|0|0|0|3|3|3|3|3|3|3|3|3|0|0|0|0|0|0
USPS|FIRST_CLASS|PACKAGE|5|2.87|2.87|2.87|2.87|2.87|2.87|2.87|2.87|2.87|0|0|0|0|0|0|3.12|3.12|3.12|3.12|3.12|3.12|3.12|3.12|3.12|0|0|0|0|0|0
USPS|FIRST_CLASS|PACKAGE|6|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|3.01|0|0|0|0|0|0|3.26|3.26|3.26|3.26|3.26|3.26|3.26|3.26|3.26|0|0|0|0|0|0
USPS|FIRST_CLASS|PACKAGE|7|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|3.14|0|0|0|0|0|0|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|3.39|0|0|0|0|0|0
USPS|FIRST_CLASS|PACKAGE|8|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|3.28|0|0|0|0|0|0|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|0|0|0|0|0|0
USPS|FIRST_CLASS|PACKAGE|9|3.44|3.44|3.44|3.44|3.44|3.44|3.44|3.44|3.44|0|0|0|0|0|0|3.68|3.68|3.68|3.68|3.68|3.68|3.68|3.68|3.68|0|0|0|0|0|0
USPS|FIRST_CLASS|PACKAGE|10|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|3.56|0|0|0|0|0|0|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|0|0|0|0|0|0
USPS|FIRST_CLASS|PACKAGE|11|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|3.67|0|0|0|0|0|0|3.84|3.84|3.84|3.84|3.84|3.84|3.84|3.84|3.84|0|0|0|0|0|0
USPS|FIRST_CLASS|PACKAGE|12|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|0|0|0|0|0|0|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|0|0|0|0|0|0
