Carrier|Service|Container Type|Weight Not Over Oz|Cost Zone 1|Cost Zone 2|Cost Zone 3|Cost Zone 4|Cost Zone 5|Cost Zone 6|Cost Zone 7|Cost Zone 8|Cost Zone 9|Cost Zone Ddu|Cost Zone Scf|Cost Zone Ndc|Cost Zone Ddu Out 48|Cost Zone Scf Out 48|Cost Zone Ndc Out 48|Charge Zone 1|Charge Zone 2|Charge Zone 3|Charge Zone 4|Charge Zone 5|Charge Zone 6|Charge Zone 7|Charge Zone 8|Charge Zone 9|Charge Zone Ddu|Charge Zone Scf|Charge Zone Ndc|Charge Zone Ddu Out 48|Charge Zone Scf Out 48|Charge Zone Ndc Out 48
USPS|PRIORITY_MAIL|PACKAGE|416|16.5|16.5|20.24|25.72|33.17|42.86|50.64|59.58|155.4|0|0|0|0|0|0|16.74|16.74|16.74|20.48|25.96|33.41|43.1|50.88|59.82|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|144|7.23|7.23|8.45|9.45|15.42|21.22|25.03|29.85|76.59|0|0|0|0|0|0|7.47|7.47|7.47|8.69|9.69|15.66|21.46|25.27|30.09|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|128|7.04|7.04|8.23|9.39|14.38|19.5|23.13|26.85|68.87|0|0|0|0|0|0|7.28|7.28|7.28|8.47|9.63|14.62|19.74|23.37|27.09|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|112|6.66|6.66|7.98|8.33|12.92|17.76|21.02|23.92|61.35|0|0|0|0|0|0|6.9|6.9|6.9|8.22|8.57|13.16|18|21.26|24.16|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|96|6.24|6.24|7.29|8.05|11.76|16.05|18.62|21.29|54.64|0|0|0|0|0|0|6.48|6.48|6.48|7.53|8.29|12|16.29|18.86|21.53|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|80|5.91|5.91|6.72|7.47|8.49|14.3|16.35|18.61|47.68|0|0|0|0|0|0|6.15|6.15|6.15|6.96|7.71|8.73|14.54|16.59|18.85|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|64|5.83|5.83|6.43|6.94|8.25|12.55|14.22|16.07|40.97|0|0|0|0|0|0|6.07|6.07|6.07|6.67|7.18|8.49|12.79|14.46|16.31|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|48|5.75|5.75|6.13|6.75|7.38|10.77|11.64|13.58|34.03|0|0|0|0|0|0|5.99|5.99|5.99|6.37|6.99|7.62|11.01|11.88|13.82|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|32|5.67|5.67|5.79|5.9|6.52|8.39|9.11|9.57|25.08|0|0|0|0|0|0|5.91|5.91|5.91|6.03|6.14|6.76|8.63|9.35|9.81|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|16|5.22|5.22|5.58|5.67|5.75|6.52|6.65|6.88|16.39|0|0|0|0|0|0|5.46|5.46|5.46|5.82|5.91|5.99|6.76|6.89|7.12|0|0|0|0|0|0
